mediamatch_userevent.phone_no,mediamatch_userevent.run_name,mediamatch_userevent.run_time,mediamatch_userevent.owner_name,mediamatch_userevent.owner_code,mediamatch_userevent.open_time,mediamatch_userevent.sm_name
2009856,正常,2014/1/29 20:57,HC级,00,2014-01-29 20:57:11,模拟有线电视
2003138,正常,2013/9/21 14:44,HC级,00,2013-09-21 14:44:59,模拟有线电视
2001351,正常,2013/8/20 16:54,HC级,00,2013-08-20 16:54:30,互动电视
2011028,正常,2014/3/9 17:55,HC级,00,2014-03-09 17:55:45,珠江宽频
2001869,正常,2013/8/28 12:40,HC级,00,2013-08-28 12:40:23,互动电视
2001102,正常,2013/8/15 17:44,HC级,00,2013-08-15 17:44:27,互动电视
2002230,正常,2013/9/4 10:16,HC级,00,2013-09-04 10:16:32,模拟有线电视
2001379,主动暂停,2014/6/26 10:25,HC级,00,2013-08-20 10:39:08,互动电视
2001379,主动暂停,2014/6/26 10:25,HC级,00,2013-08-20 10:39:08,互动电视
2005878,正常,2013/11/11 21:34,HC级,00,2013-11-11 21:34:33,珠江宽频
2005618,正常,2016/6/19 10:47,HC级,00,2013-11-08 11:30:32,互动电视
2002838,正常,2014/9/16 10:52,HC级,00,2013-09-18 09:18:53,互动电视
2028205,正常,2009/2/28 1:04,HC级,00,2007-09-18 13:30:59,甜果电视
2006101,正常,2018/5/18 14:52,HC级,00,2013-11-16 15:05:48,互动电视
2008647,正常,2014/1/7 12:39,HC级,00,2014-01-07 12:39:50,模拟有线电视
2002231,正常,2013/9/4 14:14,HC级,00,2013-09-04 14:14:15,珠江宽频
2003450,正常,2013/9/27 13:53,HC级,00,2013-09-27 13:53:53,互动电视
2000984,正常,2013/8/11 17:13,HC级,00,2013-08-11 17:13:52,互动电视
2000984,正常,2013/8/11 17:13,HC级,00,2013-08-11 17:13:52,互动电视
2011288,正常,2014/3/21 14:33,HC级,00,2014-03-21 14:33:39,珠江宽频
2000126,正常,2013/8/16 20:50,HC级,00,2013-07-25 17:46:34,互动电视
2006849,正常,2013/11/30 17:57,HC级,00,2013-11-30 17:57:36,模拟有线电视
2000812,正常,2013/8/9 9:55,HC级,00,2013-08-09 09:55:00,互动电视
2011662,正常,2015/3/21 15:45,HC级,00,2014-03-24 14:41:44,互动电视
2007557,正常,2013/12/17 17:15,HC级,00,2013-12-17 17:15:43,模拟有线电视
2004976,正常,2013/10/25 19:18,HC级,00,2013-10-25 19:18:53,珠江宽频
2003469,正常,2013/9/27 11:17,HC级,00,2013-09-27 11:17:57,模拟有线电视
2002651,正常,2013/9/11 17:12,HC级,00,2013-09-11 17:12:23,互动电视
2002236,正常,2013/9/4 10:32,HC级,00,2013-09-04 10:32:25,珠江宽频
2009818,正常,2014/1/28 17:38,HC级,00,2014-01-28 17:38:56,互动电视
2001342,主动暂停,2015/8/31 23:32,HC级,00,2013-08-19 11:53:46,珠江宽频
2001498,正常,2013/8/23 19:13,HC级,00,2013-08-23 19:13:34,互动电视
2007016,正常,2013/12/4 16:20,HC级,00,2013-12-04 16:20:33,珠江宽频
2003480,正常,2013/9/28 10:34,HC级,00,2013-09-28 10:34:46,模拟有线电视
2008132,正常,2017/7/24 21:18,HC级,00,2013-12-28 16:06:05,互动电视
2005467,正常,2013/11/5 15:30,HC级,00,2013-11-05 15:30:24,互动电视
2038416,欠费暂停,2013/5/16 16:17,HC级,00,2007-07-12 16:17:01,数字电视
2024892,正常,2008/5/22 13:22,HC级,00,2008-05-29 13:23:36,珠江宽频
2020475,主动销户,2015/9/24 15:42,EE级,00,2007-08-11 10:38:38,数字电视
2044949,欠费暂停,2008/4/5 7:04,HC级,00,2005-07-29 15:17:42,珠江宽频
2021355,欠费暂停,2007/11/6 6:11,HC级,00,2006-09-13 10:25:18,珠江宽频
2021355,欠费暂停,2007/11/6 6:11,HC级,00,2006-09-13 10:25:18,珠江宽频
2017100,欠费暂停,2007/5/9 12:05,HC级,00,2006-04-10 09:19:52,珠江宽频
2041482,正常,2009/4/2 15:27,HC级,00,2008-03-25 12:19:07,珠江宽频
2019192,正常,2009/2/28 18:17,HC级,00,2007-05-30 13:50:41,互动电视
2041202,正常,2017/7/19 14:16,HC级,00,2007-12-18 09:40:33,甜果电视
2034143,正常,1993/9/1 0:00,HC级,00,1993-09-01 00:00:00,模拟有线电视
2023765,正常,1993/3/9 0:00,HC级,00,1993-03-09 00:00:00,模拟有线电视
2028881,正常,2008/10/6 10:04,HC级,00,2008-10-06 10:01:33,模拟有线电视
2032667,正常,1994/7/1 0:00,HC级,00,1994-07-01 00:00:00,模拟有线电视
