order_100000.phone_no,order_100000.owner_name,order_100000.optdate,order_100000.prodname,order_100000.sm_name,order_100000.offerid,order_100000.offername,order_100000.business_name,order_100000.owner_code,order_100000.prodprcid,order_100000.prodprcname,order_100000.effdate,order_100000.expdate,order_100000.orderdate,order_100000.cost,order_100000.mode_time,order_100000.prodstatus,order_100000.run_name,order_100000.orderno,order_100000.offertype
2000110,HC级,2016-08-01 00:11:46,联合宽带15M,珠江宽频,GZ122256,宽带15M提速_,到期暂停状态,00,120552,宽带15M提速_,2016-07-14 00:00:00,2016-07-31 23:59:59,2016-07-14 10:00:10,0,Y,YD,正常,2139358229,1
2000110,HC级,2014-04-11 19:20:05,宽带空指令产品,珠江宽频,GZ000002,联合宽带主销售品(空包),正常状态,00,3907,宽带虚拟包0元-100元调试费,2014-04-11 19:20:05,2050-01-01 00:00:00,2014-04-11 19:20:05,0,Y,YY,正常,565656,0
2000110,HC级,2016-08-01 00:11:46,宽带空指令产品,珠江宽频,GZ122735,赠送30元-15M月享套餐宽带一个月费用,到期暂停状态,00,121406,赠送30元-15M月享套餐宽带一个月费用,2016-07-14 09:56:47,2016-07-31 23:59:59,2016-07-14 09:58:52,0,Y,YD,正常,2139357960,1
2000110,HC级,2017-07-01 00:41:19,宽带空指令产品,珠江宽频,GZ122738,预存360元-月享套餐宽带1年预存,到期暂停状态,00,121419,预存360元-月享套餐宽带1年预存,2016-07-14 09:56:47,2017-06-30 23:59:59,2016-07-14 09:58:52,360,Y,YD,正常,2139357960,1
2000110,HC级,2014-08-01 00:11:14,带宽6M,珠江宽频,GZ101074,联合宽带6M(788元/年),到期暂停状态,00,R2555,联合宽带-6M-1年-788元-旧互动499/600,2013-07-26 00:00:00,2014-07-31 23:59:59,2013-07-26 09:27:32,788,Y,YD,正常,235254333,1
2000110,HC级,2016-07-14 09:58:52,联合宽带15M,珠江宽频,GZ122714,互动+联合宽带-15M-包月,正常状态,00,121429,互动+联合宽带-15M-包月-30元-月享v3,2016-08-01 00:00:00,2050-01-01 00:00:00,2016-07-14 09:58:52,30,Y,YY,正常,2139357960,1
2000110,HE级,2016-07-14 09:58:52,宽带空指令产品,珠江宽频,GZ122738,预存360元-15M月享套餐宽带1年预存,正常状态,NULL,NULL,预存360元-15M月享套餐宽带1年预存,2016-07-14 09:56:47,2017-06-30 23:59:59,2016-07-14 09:58:52,NULL,Y,YY,正常,2139357960,1
2001625,HE级,2015-09-01 00:30:01,所有基本节目_回看,互动电视,00133381,快乐点-2年-600元,到期暂停状态,NULL,NULL,NULL,2013-08-24 18:20:07,2015-08-31 23:59:59,2013-08-24 18:20:07,NULL,N,YD,正常,240047865,1
2001625,HE级,2015-09-01 00:30:01,精彩点_点播,互动电视,00133381,快乐点-2年-600元,到期暂停状态,NULL,NULL,NULL,2013-08-24 18:20:07,2015-08-31 23:59:59,2013-08-24 18:20:07,NULL,N,YD,正常,240047865,1
2001625,HE级,2013-08-24 18:19:16,标高清直播基本包_广州,互动电视,00133390,互动标准包-600预存-送快乐点2年(到期停),正常状态,NULL,NULL,NULL,2013-08-24 00:00:00,2050-01-01 00:00:00,2013-08-24 18:19:16,NULL,N,YY,正常,240047865,0
2001625,HE级,2013-08-24 18:19:16,标清直播基本包_广州,互动电视,00133390,互动标准包-600预存-送快乐点2年(到期停),正常状态,NULL,NULL,NULL,2013-08-24 00:00:00,2050-01-01 00:00:00,2013-08-24 18:19:16,NULL,N,YY,正常,240047865,0
2001625,HC级,2013-08-24 18:19:16,互动虚拟包,互动电视,00133390,互动标准包-600预存-送快乐点2年(到期停),正常状态,00,R1811,互动600预存-26.5元-捆快乐点2年,2013-08-24 00:00:00,2050-01-01 00:00:00,2013-08-24 18:19:16,26.5,Y,YY,正常,240047865,0
2001625,HE级,2015-09-01 00:30:01,所有基本节目_时移,互动电视,00133381,快乐点-2年-600元,到期暂停状态,NULL,NULL,NULL,2013-08-24 18:20:07,2015-08-31 23:59:59,2013-08-24 18:20:07,NULL,N,YD,正常,240047865,1
2001625,HE级,2015-04-22 10:11:53,基本组_点播,互动电视,00133390,互动标准包-600预存-送快乐点2年(到期停),到期暂停状态,NULL,NULL,NULL,2013-08-24 00:00:00,2015-03-31 00:00:00,2013-08-24 18:19:16,NULL,N,YD,正常,240047865,0
2001625,HE级,2013-08-24 18:19:16,个人用户免费专区_点播,互动电视,00133390,互动标准包-600预存-送快乐点2年(到期停),正常状态,NULL,NULL,NULL,2013-08-24 00:00:00,2050-01-01 00:00:00,2013-08-24 18:19:16,NULL,N,YY,正常,240047865,0
2001625,HE级,2013-08-24 18:19:16,应用类_点播,互动电视,00133390,互动标准包-600预存-送快乐点2年(到期停),正常状态,NULL,NULL,NULL,2013-08-24 00:00:00,2050-01-01 00:00:00,2013-08-24 18:19:16,NULL,N,YY,正常,240047865,0
2001625,HC级,2013-08-24 18:19:16,广州基本点播组,互动电视,GZ101369,支持单片点播权限(按片付费),正常状态,00,R3259,0资费,2013-08-24 00:00:00,2050-01-01 00:00:00,2013-08-24 18:19:16,0,Y,YY,正常,240047865,1
2001625,HC级,2015-09-01 00:30:01,互动虚拟包,互动电视,00133381,快乐点-2年-600元,到期暂停状态,00,R2509,快乐点(600元/2年),2013-08-24 18:20:07,2015-08-31 23:59:59,2013-08-24 18:20:07,600,Y,YD,正常,240047865,1
2002231,HC级,2014-09-01 00:24:38,宽带空指令产品,珠江宽频,GZ100995,[互动+宽带]宽带基本包6M,到期暂停状态,00,R2115,[互动+宽带]宽带基本包6M,2013-09-04 00:00:00,2014-08-31 23:59:59,2013-09-04 14:14:15,0,Y,YD,正常,242677058,1
2002231,HC级,2014-09-01 00:24:38,带宽6M,珠江宽频,GZ100977,联合宽带6M(700元/年),到期暂停状态,00,R2328,联合宽带6M(700元/年)(资费),2013-09-04 00:00:00,2014-08-31 23:59:59,2013-09-04 14:14:15,700,Y,YD,正常,242677058,1
2002231,HC级,2014-04-11 19:20:05,宽带空指令产品,珠江宽频,GZ000002,联合宽带主销售品(空包),正常状态,00,3907,宽带虚拟包0元-100元调试费,2014-04-11 19:20:05,2050-01-01 00:00:00,2014-04-11 19:20:05,0,Y,YY,正常,565656,0
2002231,HC级,2017-05-31 17:37:56,带宽20M,珠江宽频,GZ123422,联合宽带-20M-2年-送1年,正常状态,00,121998,联合宽带-20M-2年-送1年-1760元-续费,2017-09-01 00:00:00,2020-08-31 23:59:59,2017-05-31 17:37:56,1760,Y,YY,正常,2200671718,1
2002231,HC级,2017-09-01 00:45:34,带宽20M,珠江宽频,GZ123390,带宽20M提速_,到期暂停状态,00,122032,带宽20M提速_,2017-05-31 00:00:00,2017-08-31 23:59:59,2017-05-31 17:38:55,0,Y,YD,正常,2200671863,1
2002231,HC级,2016-08-01 00:31:53,带宽12M,珠江宽频,GZ101686,宽带12M提速2_,到期暂停状态,00,R3249,宽带12M提速,2014-08-12 10:11:02,2016-07-31 23:59:59,2014-08-12 10:11:25,0,Y,YD,正常,2028540586,1
2002231,HE级,2014-08-12 10:11:25,带宽12M,珠江宽频,GZ121997,联合宽带-12M-3年,正常状态,NULL,NULL,NULL,2014-09-01 00:00:00,2017-08-31 23:59:59,2014-08-12 10:11:25,NULL,Y,YY,正常,2028540586,1
2002231,HE级,2017-05-31 17:38:55,带宽20M,珠江宽频,GZ123390,带宽20M提速_,正常状态,NULL,NULL,NULL,2017-05-31 00:00:00,2017-08-31 23:59:59,2017-05-31 17:38:55,NULL,Y,YY,正常,2200671863,1
2002231,HC级,2017-09-01 00:45:34,带宽12M,珠江宽频,GZ121997,联合宽带-12M-3年,到期暂停状态,00,120296,联合宽带-12M-3年-1980元,2014-09-01 00:00:00,2017-08-31 23:59:59,2014-08-12 10:11:25,1980,Y,YD,正常,2028540586,1
2002981,HE级,2016-04-16 15:01:03,应用类点播组,互动电视,GZ122407,互动49元包,正常状态,NULL,NULL,NULL,2015-10-01 00:00:00,2050-01-01 00:00:00,2015-09-03 18:57:51,NULL,N,BY,正常,2088327859,0
2002981,HE级,2016-10-17 15:50:30,应用类_点播,互动电视,GD000300,互动标准包,正常状态,NULL,NULL,NULL,2016-11-01 00:00:00,2050-01-01 00:00:00,2016-10-17 15:50:30,NULL,N,YY,正常,2155351288,0
2002981,HE级,2015-09-01 00:49:40,精彩点_点播,互动电视,GZ121951,快乐点-1年,到期暂停状态,NULL,NULL,NULL,2014-09-04 00:00:00,2015-08-31 23:59:59,2014-09-04 10:38:47,NULL,N,YD,正常,2031326086,1
2002981,HC级,2015-09-01 00:49:40,所有基本节目_回看,互动电视,GZ121951,快乐点-1年,到期暂停状态,00,120223,快乐点-0元-1年,2014-09-04 00:00:00,2015-08-31 23:59:59,2014-09-04 10:38:47,0.0,Y,YD,正常,2031326086,1
2002981,HE级,2016-04-16 15:01:03,所有基本节目_时移,互动电视,GZ122407,互动49元包,正常状态,NULL,NULL,NULL,2015-10-01 00:00:00,2050-01-01 00:00:00,2015-09-03 18:57:51,NULL,N,BY,正常,2088327859,0
2002981,HE级,2016-04-16 15:01:03,所有基本节目_回看,互动电视,GZ122407,互动49元包,正常状态,NULL,NULL,NULL,2015-10-01 00:00:00,2050-01-01 00:00:00,2015-09-03 18:57:51,NULL,N,BY,正常,2088327859,0
2002981,HE级,2014-01-01 00:52:23,所有基本节目_回看,互动电视,00133808,全时移回看(包3个月)(0元/月),到期暂停状态,NULL,NULL,NULL,2013-09-18 14:13:37,2013-12-31 23:59:59,2013-09-18 14:13:37,NULL,N,YD,正常,245010385,1
2002981,HE级,2016-11-01 00:52:15,所有基本节目_时移,互动电视,GZ122407,互动49元包,到期暂停状态,NULL,NULL,NULL,2015-10-01 00:00:00,2016-10-31 23:59:59,2015-09-03 18:57:51,NULL,N,YD,正常,2088327859,0
2002981,HE级,2015-10-01 00:46:34,互动虚拟包,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),到期暂停状态,NULL,NULL,NULL,2013-09-18 00:00:00,2015-09-30 23:59:59,2013-09-18 14:12:48,NULL,N,YD,正常,245010385,0
2002981,HE级,2016-10-17 15:49:34,广州基本点播组,互动电视,GZ101369,支持单片点播权限(按片付费),正常状态,NULL,NULL,0资费,2013-09-18 00:00:00,2050-01-01 00:00:00,2013-09-18 14:12:48,NULL,Y,BY,正常,245010385,1
2002981,HE级,2015-04-22 09:36:14,基本组_点播,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),到期暂停状态,NULL,NULL,NULL,2013-09-18 00:00:00,2015-03-31 00:00:00,2013-09-18 14:12:48,NULL,N,YD,正常,245010385,0
2002981,HE级,2016-04-16 15:01:03,广州个人用户免费专区点播,互动电视,GZ122407,互动49元包,正常状态,NULL,NULL,NULL,2015-10-01 00:00:00,2050-01-01 00:00:00,2015-09-03 18:57:51,NULL,N,BY,正常,2088327859,0
2002981,HE级,2016-04-16 15:01:03,标清直播基本包_广州,互动电视,GZ122407,互动49元包,正常状态,NULL,NULL,互动49元包-包月-49元,2015-10-01 00:00:00,2050-01-01 00:00:00,2015-09-03 18:57:51,NULL,Y,BY,正常,2088327859,0
2002981,HC级,2014-01-01 00:52:23,互动虚拟包,互动电视,00133808,全时移回看(包3个月)(0元/月),到期暂停状态,00,R1820,全时移回看(包3个月)(0元/月),2013-09-18 14:13:37,2013-12-31 23:59:59,2013-09-18 14:13:37,0.0,Y,YD,正常,245010385,1
2002981,HE级,2017-10-28 15:41:00,个人用户免费专区_点播,互动电视,GD000300,互动标准包,正常状态,NULL,NULL,NULL,2016-11-01 00:00:00,2050-01-01 00:00:00,2016-10-17 15:50:30,NULL,N,BY,正常,2155351288,0
2002981,HC级,2015-10-01 00:46:34,标清直播基本包_广州,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),到期暂停状态,00,R1926,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),2013-09-18 00:00:00,2015-09-30 23:59:59,2013-09-18 14:12:48,26.5,Y,YD,正常,245010385,0
2002981,HE级,2015-09-01 00:49:40,所有基本节目_时移,互动电视,GZ121951,快乐点-1年,到期暂停状态,NULL,NULL,NULL,2014-09-04 00:00:00,2015-08-31 23:59:59,2014-09-04 10:38:47,NULL,N,YD,正常,2031326086,1
2002981,HE级,2016-10-17 15:50:30,标高清直播基本包_广州,互动电视,GD000300,互动标准包,正常状态,NULL,NULL,NULL,2016-11-01 00:00:00,2050-01-01 00:00:00,2016-10-17 15:50:30,NULL,N,YY,正常,2155351288,0
