phone_no	owner_name	optdate	prodname	sm_name	offerid	offername	business_name	owner_code	prodprcid	prodprcname	effdate	expdate	orderdate	cost	mode_time	prodstatus	run_name	orderno	offertype
2008448	EE级	2017/2/21 10:05	宽带空指令产品	珠江宽频	GZ000002	联合宽带主销售品(空包)	欠费暂停状态	NULL	NULL	NULL	2014/4/11 19:20	2050/1/1 0:00	2014/4/11 19:20	NULL	Y	YB	正常	565656	0
2008448	EE级	2016/1/1 0:27	带宽6M	珠江宽频	GZ101364	宽带6M (50元/月)	到期暂停状态	NULL	NULL	宽带6M (50元/月)	2014/2/1 0:00	2015/12/31 23:59	2014/1/23 12:14	NULL	Y	YD	正常	265207421	1
2008448	EE级	2017/8/31 14:54	联合宽带10M	珠江宽频	GZ100980	宽带-10M-包月	销户状态	0	121671	宽带-10M-包月-53.5元	2016/6/1 0:00	2018/5/31 23:59	2016/5/25 10:24	53.5	Y	GI	主动销户	2129139772	1
2008448	EE级	2016/8/21 12:23	宽带空指令产品	珠江宽频	GZ000002	联合宽带主销售品(空包)	正常状态	NULL	NULL	宽带虚拟包0元-100元调试费	2014/4/11 19:20	2050/1/1 0:00	2014/4/11 19:20	NULL	Y	BY	正常	565656	0
2008448	EE级	2017/8/31 14:54	带宽6M	珠江宽频	GZ101198	宽带-6M-包月-0元	销户状态	0	R1878	宽带-6M-包月-0元	2013/12/31 0:00	2014/1/31 23:59	2013/12/31 14:02	0	Y	GI	主动销户	260015879	1
2008448	EE级	2017/2/21 10:05	联合宽带10M	珠江宽频	GZ100980	宽带-10M-包月	欠费暂停状态	NULL	NULL	NULL	2016/6/1 0:00	2018/5/31 23:59	2016/5/25 10:24	NULL	Y	YB	正常	2129139772	1
2008448	EE级	2017/2/21 12:56	宽带空指令产品	珠江宽频	GZ000002	联合宽带主销售品(空包)	正常状态	NULL	NULL	宽带虚拟包0元-100元调试费	2014/4/11 19:20	2050/1/1 0:00	2014/4/11 19:20	NULL	Y	BY	正常	565656	0
2008448	EE级	2017/8/31 14:54	联合宽带15M	互动电视	GZ101091	宽带15M附属(0元/30天)	销户状态	0	R2572	宽带15M附属(0元/30天)	2016/1/4 0:00	2016/2/3 23:59	2016/1/4 20:17	0	Y	GI	主动销户	2108594713	1
2008448	EE级	2016/1/1 0:27	个人用户50元包月	珠江宽频	GZ101364	宽带6M (50元/月)	到期暂停状态	NULL	NULL	NULL	2014/2/1 0:00	2015/12/31 23:59	2014/1/23 12:14	NULL	N	YD	正常	265207421	1
2008448	EE级	2017/8/31 14:54	联合宽带15M	互动电视	GZ101091	宽带15M附属(0元/30天)	销户状态	0	R2572	宽带15M附属(0元/30天)	2016/2/4 0:00	2016/3/5 23:59	2016/2/4 21:58	0	Y	GI	主动销户	2113690855	1
2008448	EE级	2017/2/21 12:56	联合宽带10M	珠江宽频	GZ100980	宽带-10M-包月	正常状态	NULL	NULL	宽带-10M-包月-53.5元	2016/6/1 0:00	2018/5/31 23:59	2016/5/25 10:24	NULL	Y	BY	正常	2129139772	1
2008448	EE级	2016/1/4 5:00	带宽12M	珠江宽频	GZ121934	宽带-12M-到期过渡授权包	到期暂停状态	NULL	NULL	宽带-12M-0元-到期过渡授权	2015/12/30 0:00	2016/1/3 23:59	2015/12/30 12:04	NULL	Y	YD	正常	2107023949	1
2008448	EE级	2017/8/31 14:54	带宽6M	珠江宽频	GZ101364	宽带6M (50元/月)	销户状态	0	R2945	宽带6M (50元/月)	2014/2/1 0:00	2015/12/31 23:59	2014/1/23 12:14	50	Y	GI	主动销户	265207421	1
2008448	EE级	2016/4/6 5:00	联合宽带15M	互动电视	GZ101091	宽带15M附属(0元/30天)	到期暂停状态	NULL	NULL	宽带15M附属(0元/30天)	2016/3/6 0:00	2016/4/5 23:59	2016/3/6 20:28	NULL	Y	YD	正常	2117679654	1
2008448	EE级	2016/6/1 0:17	带宽6M	珠江宽频	GZ101198	宽带-6M-包月-0元	到期暂停状态	NULL	NULL	宽带-6M-包月-0元	2016/4/7 0:00	2016/5/31 23:59	2016/4/7 15:00	NULL	Y	YD	正常	2122488708	1
2010182	EE级	2015/3/16 10:13	基本包	数字电视	GZ100528	数字电视(小政企专用)(22.5元/月)	欠费暂停状态	0	R2163	数字电视(小政企专用)(22.5元/月)	2014/2/15 0:00	2019/1/31 23:59	2014/2/15 16:52	22.5	Y	YB	欠费暂停	46204	0
2017496	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2018591	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2020484	EE级	2013/4/1 0:11	基本包	数字电视	BO002327	整转包(月租26.5元)	到期暂停状态	NULL	NULL	NULL	2013/1/1 0:00	2013/3/31 23:59	2012/12/31 22:49	NULL	N	YD	主动销户	206498167	0
2020484	EE级	2014/1/17 16:56	数字电视	数字电视	BO005083	数字电视基本包八折 21.2-合同产品	销户状态	0	R2134	数字电视基本包八折 21.2-合同产品	2013/4/1 0:00	2018/3/31 23:59	2013/3/27 16:40	21.2	Y	YI	主动销户	218564994	0
2020484	EE级	2013/4/1 0:11	数字电视	数字电视	BO002327	整转包(月租26.5元)	到期暂停状态	NULL	NULL	NULL	2013/1/1 0:00	2013/3/31 23:59	2012/12/31 22:49	NULL	Y	YD	主动销户	206498167	0
